,DESCRIÇÃO PARCEIRO,SUB-CATEGORIA,CATEGORIA
5829,MANTEIGA UAI 500G-PT C/SAL,COM SAL,MANTEIGA
5830,SHAM INF TURMA DA MONICA EXTRA SUAVE 200ML,SUAVE,SHAMPOO INFANTIL
5831,KIT SH/COND FINA FLOR 300ML MANDIOCA,KIT SHAMPOO E CONDICIONADOR,KIT CABELOS ADULTOS
5832,RICCA ESCOVA P/CABELO BABY REF 388,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
5833,GELATINA SIAMAR 30GR LIMAO,REGULAR MARACUJÁ,GELATINA
5834,PROT DIARIO OB MD PRO COMFORT C/10,EXTERNO PROTETOR DIÁRIO,ABSORVENTE
5835,SAND HAVAIANAS DYNAMIC 1PR MAR/CINZA 35/36,SANDÁLIA,CALÇADO ADULTO
5836,FRALDAS CREMER JUMBO GRANDE,INTERMEDIÁRIA M,FRALDA INFANTIL
5837,PATE PIMENTA BIQUINHO CASTELO PICANCIA 6 250G,PIMENTA BIQUINHO,PATÊ
5838,CHICLE PING-PONG MAXI MONST T-FRUTTI 240G-DY C/60,CHICLETE TUTTI FRUTTI,BOMBONIERE
5839,MILHO PIPOCA HIKARI M.O. 100G CHOCOLATE,MILHO PIPOCA ,GRÃOS/CEREAIS
5840,"CUMBUCA MONDO CERAM 1,5L AMARELO",CUMBUCA,UTENSÍLIOS DE PORCELANA/CERÂMICA
5841,LAVA ROUPA LIQ ARIEL 15 LAV TOQUE DOWNY CONC 630ML,ALTA PERFORMANCE,LAVA ROUPA LÍQUIDO
5842,BISC PINATI CACAU/SAL S/G VEG 100G,COOKIE,BISCOITO
5843,"IOG LIQ VIGOR 900G, MORANGO",LÍQUIDO,IOGURTE
5844,REFRIG WIMI LARANJA PET 600ML,LARANJA,REFRIGERANTES
5845,V.CHIL CASTILLO MOLINA 750M TTO CAB SAUVIGNON,VINHO CHILENO,VINHO
5846,CAFE RIBEIRAO BONITO 500G TR/MD,ALMOFADA TRADICIONAL,CAFÉ
5847,"IOG PAULISTA NAT 170G, GRANOLA/MEL",NATURAL,IOGURTE
5848,TORNEIRA NEDO P/BEBEDOURO BCA 222 .,TORNEIRA,HIDRÁULICA
5849,OVO NESTLE SURPRESA MINI TUBO 117G,OVO DE PÁSCOA,OVO DE PÁSCOA
5850,SAND HAVAIANAS HYPE 43/4 AREIA CAFE,SANDÁLIA,CALÇADO ADULTO
5851,PO COMPACT BE AURORA ILUMINA 01PO,PÓ COMPACTO,MAQUIAGEM
5852,QUEIJO MUSS LEBOM FAT KG,MUSSARELA,QUEIJO
5853,CAIXA TERMICA ICEBOX 100L 13102,BOLSAS/CAIXAS TÉRMICAS,TÉRMICOS
5854,COUS COUS TREVIJANO MEDITER PCT 300G,MISTURAS,FARINÁCEO
5855,ESM COLORAMA NUDES REAIS EXPLICITA 1UN-SM,ESMALTE,ESMALTE
5856,CJ PIZZA TRAMONTINA INOX 9P 64740010,CONJUNTO PARA PIZZA,UTENSÍLIOS DE INOX/ALUMÍNIO
5857,ABRIDOR DE LATA C/FURADOR C/1,ABRIDOR ,UTENSÍLIOS DE INOX/ALUMÍNIO
5858,TACA VIDRO WORDS GIN LIQUID THERAPY,TAÇAS,UTENSÍLIOS DE VIDRO
5859,VINHO NACALMADEN CHARDONNAY 750ML,VINHO BRANCO,VINHO
5860,COND COLORAMA VITA-ENERGIA 400ML,TRADICIONAL,CONDICIONADOR
5861,SIDRA CERESER CRUZEIRO 660ML,SIDRA,SIDRA/ESPUMANTE
5862,"SABONETE REXONA 200ML, ANTIB FRESH",BÁSICO,SABONETE LÍQUIDO
5863,REFRESCO EM PO BRASSUK 300GR MARACUJA,MARACUJÁ,REFRESCO EM PÓ
5864,DESCOL PO CARE LISS 20G-SACHE QUERATINA,DESCOLORANTE PARA CABELO EM PÓ,COLORAÇÃO FEMININA
5865,BALA HARIBO STICKS ZOURR TUTTI PCT 80G,BALAS - GELATINA,BOMBONIERE
5866,CERV ANTARCTICA SUBZERO LT 350ML,PILSEN,CERVEJA
5867,TORRESMO PRE-FRITO MAIS SABOR 150G BALDE,TORRESMO,PERTENCES FEIJOADA
5868,SAND HAVAIANAS HYPE 37/8 AREIA CAFE,SANDÁLIA,CALÇADO ADULTO
5869,PRATO SCHMIDT POMER PORC 1UN SOBREM DECORADO,PRATO,UTENSÍLIOS DE PORCELANA/CERÂMICA
5870,SACO ALGODAO ALVEJADO ATOALHADO 75x50cm COPALIMPA,PANO ALVEJADO,PANOS/FLANELAS
5871,GELEIA 340g MENZ E GASSER FRUT SILV,GELEIA GOURMET,GELÉIA
5872,BEBIDA DEL VALLE LARANJA PET 1L,REGULAR,SUCO PRONTO/NECTAR
5873,"ALIM P CAES 1KG, DUNGA",SECO,ALIMENTO PARA CÃES
5874,QUEIJO REINO FRACIONARIO K PIRACANJUBA,REINO,QUEIJO
5875,DOCE TORRONE MONTEVERGINE AMENDOIM 270G L3P2,TORRONE,DOCE TABLETE
5876,LA MOLISANA INTEGRALE SPAGHETTO QUADRATO 500G,ESPAGUETE,CONDIMENTO NATURAL
5877,BISC GRANPURE COOKIE LARAN/CHOC PCT 120G,COOKIE,BISCOITO
5878,MOLHO REFOGADO COLONIAL 860G,REFOGADO,MOLHO DE TOMATE
5879,"BALA BUTTER TOFFES 24,7G AGR BLAND",BALAS - CARAMELO E TOFFE,BOMBONIERE
5880,QUIABO ORG FITO ARTES 500G-BJ,QUIABO,LEGUMES
5881,AMAC ROUPA SOFT PLUS ROSA 5L,TRADICIONAL,AMACIANTE
5882,SANDALIA HAVAIANAS TOP TREND BCO/MOR 43/44,SANDÁLIA,CALÇADO ADULTO
5883,"POTE DE VIDRO TEMPERADO 3,2 x 10-6 KELVI -DAISO",POTES,UTENSÍLIOS DE VIDRO
5884,DES AERO GILLETTE ANTIBAC 2X93G 50%DESC 2UN,AEROSOL COM PERFUME,DESODORANTE MASCULINO
5885,CARNE SECA DESSALG.TRAS.PAULISTINHA 1KG,CARNE SECA,PERTENCES FEIJOADA
5886,LAVA LOUCA LIQ BIO BRILHO LIMAO 500ML,LÍQUIDO COCO,LAVA LOUÇA
5887,SANDALIA HAVAIANAS TOP GA ROSA PER 35/36,SANDÁLIA,CALÇADO ADULTO
5888,TOALHA ROSTO ROYAL SANTISTA DENIS VERDE,TOALHA DE ROSTO,BANHO
5889,VINHO TTO LA CLASSIC 750ML CARB SAUV BRA,VINHO TINTO,VINHO
5890,COLHER ARROZ TRAMONTINA EASY VM 25224470,COLHER,UTENSÍLIOS DE INOX/ALUMÍNIO
5891,ALCAPARRA TING 100G VDO,ALCAPARRA,VEGETAL
5892,COMEDOURO NUTRIPLAN N03,COMEDOURO,JARDINAGEM PLANTAR
5893,CAFE GUIDALLI EXTRA FORTE VACUO PCT 250G,VÁCUO EXTRA FORTE,CAFÉ
5894,PALHETA LUXCAR PREMIUM S-056 18/18,PALHETA,AUTOMOTIVO ACESSÓRIOS
5895,GELATINA KININO 30GR UVA,UVA,GELATINA
5896,COPO COPOBRAS DESC 200ML TRANS.C100 .,COPO,ARTIGOS PARA FESTAS
5897,SANDALIA HAVAIANAS TRIBAL WHITE/CORAL 33/34,SANDÁLIA,CALÇADO ADULTO
5898,POLPA MARACUJA AZEDO NAT kg,MARACUJÁ,POLPA DE FRUTA
5899,SACO DOCES PASCOA IMP BC 91-2A,SACO PARA FREEZER,SACOS
5900,PALMITO BABACU ECOLOG.300G PEDACOS,INTEIRO,PALMITO
5901,MOLHO PIMENTA ARRIFANA EXT FORTE VERM 60G,TRADICIONAL,MOLHO DE PIMENTA
5902,TORTA RECH LEITE COND E CHANTILY K,TORTA DOCE,TORTA
5903,VINHO PORTUGUES VERSATIL REG.ALENTEJANO 750ML BCO,VINHO PORTUGUÊS,VINHO
5904,AMAC ROUPA CONC DOWN L CAMPO 1L,CONCENTRADO,AMACIANTE
5905,LAVA LOUCAS TEIU 500ML NEUTRO,LÍQUIDO NEUTRO,LAVA LOUÇA
5906,LENCOL TEKA D QUEEN XADREZ,LENCOL AVULSO,CAMA
5907,ERVILHA INTEIRA IMP. BENASSI kg,ERVILHA,ERVILHA EM CONSERVA
5908,SUCO NEWFRUT 350ML-BETERRABA/LAR /MACA,REGULAR,SUCO NATURAL
5909,FRU CALDA FIGO CEPERA 400G,FIGO,FRUTA EM CALDA
5910,TAMPA SILICONE PREMIUM GANDA 27CM,TIGELA,UTENSÍLIOS DE PORCELANA/CERÂMICA
5911,PURIF AR GLADE AUT TARDE FLOR RF 269ML,REFIL,PURIFICADOR DE AR
5912,AZEITONA VERDE VALE FERTIL L SACHET 200G,VERDE COM CAROÇO,AZEITONA
5913,MIX BOLO S/GLUTEN AMINNA CACAU 400G,MISTURAS,FARINÁCEO
5914,ARROZ PRATO FINO SELECTION INTEGRAL 1KG,INTEGRAL,ARROZ
5915,"SOPA MAGGI 60G, GALINHA ARROZ",SOPA INSTANTÂNEA LEGUMES,SOPA
5916,MOLHO FERRER PIMENTO CHORICERO 125G,TRADICIONAL,MOLHO DE PIMENTA
5917,CERVEJA SKOL PURO MALTE LT 269ML,PURO MALTE,CERVEJA
5918,SANDALIA HAVAIANAS BABY PETS AMARELO POLEN 21,SANDÁLIA,CALÇADO INFANTIL
5919,AZEITONA PTA VALE FERTIL C/C SC 150G,PRETA COM CAROÇO,AZEITONA
5920,GUARDAPO PAPEL CAMERATTA COM 50 21X22,FORMINHA,ARTIGOS PARA FESTAS
5921,COCO RALADO DO VALE SABOR NORDESTE UM ADOC 100GR,COCO RALADO,DERIVADOS DO COCO
5922,MORDEDOR NUK MASSAGE RELAX ROSA 4+,MORDEDOR,PUERICULTURA
5923,ABS S/ABAS DIANA ACTIVE GEL SUAVE C/8,EXTERNO COM ABAS,ABSORVENTE
5924,"MAC C OVOS ADRIA 500G, ESPIRAL",COM OVOS,MASSA SECA
5925,ED REACH PROFIS 1UN-SM 40-GDE MED,ESCOVA DENTAL INFANTIL,ESCOVA DENTAL INFANTIL
5926,BALAO FEST LAR LISO C/50 VERDE,BALÃO,ARTIGOS PARA FESTAS
5927,CESTO ARTHI FLEXIVEL 20L 1568,CESTO DE ROUPA,ORGANIZADOR
5928,TESOURA CUTICULAS TRIM,TESOURA PARA UNHAS,ACESSÓRIOS MÃO E PÉ
5929,ESFIHA DOZZA 400G-CX CONG QJO C/BASTERMA,CARNE,ESFIHA
5930,PROT SOLAR LOREAL FAC ANTIACNE PS30 50ML,FPS 30,PROTETOR SOLAR FACIAL
5931,LIMP GRELHA BIOZ GREEN HOME 600ML,PERFUMADO,LIMPADOR MULTIUSO
5932,PANETONE VISCONTI BRIGADEIRO 550G,FRUTAS,PANETONE
5933,PETISCO DOGUITOS 45G RODIZIO LINGUICINHA,PETISCOS,ALIMENTO PARA CÃES
5934,MIST GELATINA APTI MARACUJA 1KG-PC,REGULAR UVA,GELATINA
5935,VINHO MONTGRAS RESERVA QUATRO GFA 750ML,VINHO TINTO,VINHO
5936,REQUEIJAO CREM.DAMARE TRAD.200G,CREMOSO,REQUEIJÃO
5937,SACOLA ECOLOGICA CATOLICA,SACOLA RETORNÁVEL,UTENSÍLIOS DE PLÁSTICO
5938,POLPA MAIS FRUTA ACAI PCT 400G,CUPUAÇU,POLPA DE FRUTA
5939,MIST SAGU YOKI FRAMBOESA 250G,MISTURAS,FARINÁCEO
5940,PAPEL TOALHA C/2 SOCIAL CLEAN LV 200 PG 180,PAPEL TOALHA,PAPEL TOALHA
5941,CAIXA NATAL BELEM,CAIXAS DECORADAS,PAPELARIA
5942,GRAO BICO ZAELI 500G,GRÃO DE BICO,GRÃOS/CEREAIS
5943,FEIJAO CALDO BOM PRETO ABRE/FECHA 1KG,FEIJÃO PRETO,FEIJÃO
5944,CR CEBOLA MAGGI 204G-CX,SOPA CREMOSA CEBOLA,SOPA
5945,JG FACAS TRAMONTINA 6P COLOR23498916,CONJUNTO DE FACA,UTENSÍLIOS DE INOX/ALUMÍNIO
5946,CERV BLACK PRINCESS 600ML TIAO BOCK,PILSEN,CERVEJA
5947,EXTRATO TOMATE ELEFANTE CX 280G,TRADICIONAL,EXTRATO DE TOMATE
5948,PRATO DESCARTAVEL 15cm C/10un KEROCOPO RASO,PRATO,ARTIGOS PARA FESTAS
5949,FRALDA GER COTIDIAN CLASS M C/8,FRALDA GERIATRICA M,HIGIENE GERIÁTRICA FEMININA
5950,LEITE PO AURORA 400G INT INSTANTANEO,INTEGRAL,LEITE EM PÓ
5951,GELEIA DE GOIABA DIET 200G,GELEIA TRADICIONAL,GELÉIA
5952,FEIJAO CARIOCA PACHA 1KG-PC TP1,FEIJÃO CARIOCA,FEIJÃO
5953,EXTR TOM.ELEFANTE 350G LT TEMP. SALSA/CEBOLA,TRADICIONAL,EXTRATO DE TOMATE
5954,INARI PRIMAVERA MINI 190G,OUTROS,PÃES
5955,ERVILHA ODERICH LT 200G,ERVILHA,ERVILHA EM CONSERVA
5956,CONCENTRADO MAGUARY UNO LARANJ PET 250ML,REGULAR,SUCO CONCENTRADO
5957,VODKA BALALAIKA FR VRM 1L,NACIONAL SABORIZADA,VODKA
5958,MOLHO ZACCARON QUEIJOS PT 590G,QUEIJO,MOLHO CULINÁRIO
5959,ASSADEIRA MARINEX SUFLE 1.4L,ASSADEIRA,UTENSÍLIOS DE VIDRO
5960,SUCO INTEG FAZENDA TOCA LARANJA GF 980ML,INTEGRAL,SUCO PRONTO/NECTAR
5961,VELA REGINA C/GLITER ROSA N.03,VELA,ARTIGOS PARA FESTAS
5962,FLOR NAT ANTHURIUM SIERRA P.15 1UN,ANTÚRIO,"PLANTAS, FLORES E ACESSÓRIOS"
5963,PIZZA SADIA 460G CONG. MARGUERITA,MARGUERITA,PIZZA
5964,PRATO ROMANA PLASTICO 15CM C/10 ROSA,PRATO,ARTIGOS PARA FESTAS
5965,AMPOLA CAP LOKENZZI DESAMARELADOR 14ML,AMPOLA,TRANSFORMAÇÃO CABELOS
5966,MOLHO HEINZ CHILI SAUCE 340G VDO,TRADICIONAL,MOLHO BARBECUE
5967,ESM RISQUE COLECOES ENCANTOS CATALUNHA,ESMALTE,ESMALTE
5968,ACEM BOV FRIBOI (BIFE) KG,ACÉM,BOVINO RESFRIADO
5969,MELAO DINO KG,MELÃO,FRUTAS
5970,VINHO PORTUGUES AJUDA 750ML,VINHO PORTUGUÊS,VINHO
5971,CREME DE QUEIJO REGINA 250G,ESTEPE,QUEIJO
5972,ESTOPA RODABRIL 200G 100%ALGODAO .,ESTOPA,ALGODÃO
5973,AMEIXA PRETA IMPORTADA KG,AMEIXA,FRUTAS
5974,BARRA CEREAL NUTS AGTAL MIXED NUTS 50G,NUTS,BARRA DE CEREAL
5975,PANO DE PIA ZENALETI FELPUDO,PANO DE PIA,PANOS/FLANELAS
5976,LAMPADA FOXLUX ELETRONICA ESPIRAL 127X20W,LÂMPADA,ILUMINAÇÃO
5977,CANJIQUINHA MILHO PACHA 1kg .,CANJIQUINHA,CANJICA
5978,ARROZ TIO JOAO COZ FACIL TOM C/MANJERICAO 250G,SEMI PRONTO,ARROZ
5979,UVA PASSA PRETA EMB.kg,UVA PASSA,FRUTA SECA
5980,T.FLEURY KIT COLOR.ESP. (6.0) LOURO,PERMANENTE LOURO,COLORAÇÃO FEMININA
5981,PAO ALHO TIA MARIA TRADICIONAL PCT 400G,REGULAR,PÃO DE ALHO
5982,LAVA ROUPA LIQ TANTO PRE LAVAGEM 1L,BÁSICO,LAVA ROUPA LÍQUIDO
5983,BEBIDA MISTA ALEGRIA 250ML LARANJA,LARANJA,BEBIDA MISTA
5984,PIRULITO PECCIN FRAMBOESA 672G-PC,PIRULITO FRUTAS,BOMBONIERE
5985,ALMOFADA LYNEL E MESCLA 60X60 BG,ALMOFADAS,ALMOFADAS
5986,PREZATO LOMBO CANADENSE K,LOMBO,SUÍNO RESFRIADO
5987,ENERGETICO DOPAMINA MIND DRINK 269ML,TRADICIONAL,ENERGÉTICO
5988,QUEIJO VIGOR GRUYERE CUNHA KG,OUTROS ESPECIAIS,QUEIJO
5989,MINI MILHO ZUPPA 200G,MINI MILHO VERDE,MILHO VERDE EM CONSERVA
5990,CHOC LACTA SPECIALS OREO BR 325G,CHOCOLATE BARRA,BOMBONIERE
5991,GOMA MASCAR MENTOS BEATS FRUIT 45G,CHICLETE OUTROS SABORES,BOMBONIERE
5992,"SAND IPANEMA AN SF MAS, 39/40, AZ R/BCO",SANDÁLIA,CALÇADO ADULTO
5993,SAB LIQ PHYTOERVAS ANIS 250ML,BÁSICO,SABONETE LÍQUIDO
5994,REFRESCO EM PO BRASSUK 20GR MORANGO,MORANGO,REFRESCO EM PÓ
5995,LAMPADA PHILIPS STAND 100W 127V,LÂMPADA,ILUMINAÇÃO
5996,COQUETELEIRA 600ml SANREMO SR100/3,COQUETELEIRA,UTENSÍLIOS DE PLÁSTICO
5997,ESC DENT DES ORAL B COMP. KIT ED. 250ML 40+ENX COMPL,ESCOVA DENTAL DESEMPENHO,ESCOVA DENTAL ADULTO
5998,PATINHO BOV MARFRIG (PECA) KG,PATINHO,BOVINO CONGELADO
5999,VINHO NACIONAL CASA VENTURINI CABERNET SAUVIG 750ML,VINHO NACIONAL,VINHO
6000,PANO SMART ALVEJADO,PANO MULTIUSO,PANOS/FLANELAS
6001,INSET WEST GARDEN MULTI P USO KLER 500ML,AEROSOL INSETOS,INSETICIDA
6002,ESPELHO LEAO DIAMANTE 119X44 N.120,ESPELHO,ESPELHO
6003,SAND HAVAIANAS KIDS MAX 1PR GRAF/AZUL 23/24,SANDÁLIA,CALÇADO ADULTO
6004,GRANOLA BENASSI TRAD kg,GRANOLA,SAUDÁVEL
6005,SH PANTENE HIDROCAUT 175ML,HIDRATAÇÃO,SHAMPOO
6006,GRAMPO P/CABELO KI-GRAMPO GRANDE PRETO,GRAMPOS,ACESSÓRIOS PARA CABELO
6007,ALIM P CAES KANINA CARNE E CER 10.1KG,SECO,ALIMENTO PARA CÃES
6008,TELEF INTELBRAS GOND CZ TC20,TELEFONIA FIXA,TELEFONIA
6009,QUEIJO MUSS.LACFREE MINI KG,MUSSARELA,QUEIJO
6010,PASTA POLIBRAS SOFT 40MM G C/ELAST AZUL,PASTA,MATERIAL DE ESCRITÓRIO
6011,VINHO LINTON PARK RES MERLOT GFA 750ML,VINHO TINTO,VINHO
6012,ITALAC BEBIDA LACTEA 200ml MAC/BAN/MA,BEBIDA LÁCTEA,IOGURTE
6013,PRATINHO NUBY FLOR NB22025,ANTÚRIO,"PLANTAS, FLORES E ACESSÓRIOS"
6014,OLEO AVANTE 100ML CAPILAR E CORPO AMÊNDOA,ÓLEO CAPILAR,TRANSFORMAÇÃO CABELOS
6015,LAVA ARROZ SANTANA PRATIKO .,LAVA ALIMENTO,UTENSÍLIOS DE PLÁSTICO
6016,LENÇOL SOLTEIRO ROYAL COM ELÁSTICO INDIGO ALGODÃO SANTISTA,LENCOL AVULSO,CAMA
6017,RAVIOLI MASSALEVE CARNE 400GR,RAVIOLI,MASSA FRESCA
6018,FEIJAO RAJADO BOM TEMPO 1kg .,FEIJÃO OUTROS,FEIJÃO
6019,POLPA FRUTAS L S UVA 1KG,UVA,POLPA DE FRUTA
6020,CUSCUZ FLOCOS ZANIN 500G,CUSCUZ,FARINÁCEO
6021,SABAO PEDRA YPE AZUL 200G,GLICERINADO,SABÃO EM BARRA
6022,"SUCO GREENPEOPLE BASIC 1L, BET/LAR/CEN",REGULAR,SUCO PRONTO/NECTAR
6023,BATATA LAYS CLASSICA 33G,BATATA REGULAR,SALGADINHO E APERITIVO
6024,CR DENT GEL CLOSE UP EUCALYPTUS FREEZE KIT LV4PG3 90G,GEL DENTAL,CREME/GEL DENTAL ADULTO
6025,ALIM SUPRA SOY S/LACTOSE 300G IOGURTE,BEBIDA LÁCTEA,IOGURTE
6026,SAND INF HAVAIANAS BABY PETS 19 BCO/AMA,SANDÁLIA,CALÇADO INFANTIL
6027,LARANJA PERSIA KG,LARANJA,FRUTAS
6028,PALETA SOMBRAS MARRY ME LUISANCE L1051,SOMBRA,MAQUIAGEM
6029,VODKA GREY GOOSE ORIG 750ML,IMPORTADA,VODKA
6030,SAB LIQ ANTIBAC PROTEX MAN POWER 250ML,ANTI-BACTERIANO,SABONETE LÍQUIDO
6031,VASO ECOGLASS E 22CM VM 9470,VIDRO,VASOS
6032,REFRIG DEL RIO 300ML ABACAXI,ABACAXI,REFRIGERANTES
6033,SALG APER AMENDOIM DORI SALGADO 200G,AMENDOIM,SALGADINHO E APERITIVO
6034,QUEIJO MUSS.TRANCA OREG.DEF.CRUZILIA KG,MUSSARELA,QUEIJO
6035,IOGURTE BLISSIMO MIX 15G PROT CHOC 250ML,TRADICIONAL,IOGURTE
6036,SALGADINHO BIG B 50G NACHO,SALGADINHOS EXTRUSADOS,SALGADINHO E APERITIVO
6037,GOIABADA STELLA DORO 400G .,GOIABADA,DOCE MASSA
6038,JG CAMA ACASA D MICROF QUEEN PR,JOGO DE CAMA,CAMA
6039,"CONJ COPOS BRASILIS 280ML, CRISTAL",COPO,UTENSÍLIOS DE VIDRO
6040,AGUA SANIT DONA CLARA 5L,SEM CLORO,ÁGUA SANITÁRIA
6041,ODORIZ AR GLADE 50DESC SEG REFIL 12ML,REFIL,PURIFICADOR DE AR
6042,SH ALBANY CAB TINGIDOS 300ML,COLORIDOS,SHAMPOO
6043,REFR PO FRISCO MARACUJA 25G,MARACUJÁ,REFRESCO EM PÓ
6044,"AVEIA QUAKER MAIS MOR C CHOC 200G,",SABORIZADA,AVEIA
6045,REFRIGERANTE FANTA UVA PET 200ML,UVA,REFRIGERANTES
6046,"AGUA MIN BONAFONT C/GAS 1,27L, LEM SQ",SEM GÁS,ÁGUA MINERAL
6047,PRATO FEST LAR PLAST C10 18CM BCO,PRATO,ARTIGOS PARA FESTAS
6048,CALU LINGUICA CAIPIRA APIMENTADA 600g FINA,FININHA,LINGUIÇA
6049,PEITORAL HAPPY AU ESTRELA AZ/LJ N2,PEITORAL,ACESSÓRIOS PET
6050,LENCO UMED JOHNSON BABY RECEM NASCIDO 48UN LV4PG3,LENÇO UMEDECIDO INFANTIL,LENÇO UMEDECIDO INFANTIL
6051,COND PALMOLIVE 200ML KIDS REFIL,TRADICIONAL,CONDICIONADOR INFANTIL
6052,DESINF P/FRUTAS QUALLY 60ML CLORO,DILUÍDO,DESINFETANTE
6053,ESM RISQUE VIDAS SONORAS VIN I LOVE YOU 1UN-SM,ESMALTE,ESMALTE
6054,ARROZ NAMORADO FRUTOS DO MAR 500G,TIPO 1,ARROZ
6055,LUSTRA MOVEIS LUSTRAL YPE LAVANDA 200ML,TRADICIONAL,TRATAMENTO DE MÓVEIS
6056,CAMPEAO ALHO PICADO 1kg,ALHO PICADO,CONDIMENTO NATURAL
6057,ALHO NOBRE PASTA PT 200G,ALHO PASTA,CONDIMENTO NATURAL
6058,KIT PRAIA ESCAVADEIRA APOLO,BRINQUEDOS PRAIA,BRINQUEDOS UNISEX
6059,SUCO DEL VALLE 500ML MANGA,REGULAR,SUCO PRONTO/NECTAR
6060,MASSA FR RAVIOLI MEZZANI 4 QUEIJO 400G,RAVIOLI,MASSA FRESCA
6061,LAMPADA M-USO PINO 110VX7W,LÂMPADA,ILUMINAÇÃO
6062,FORMINHA REGINA PAPEL RS N.5 100UN,FORMINHA,ARTIGOS PARA FESTAS
6063,SAND INF NEW BABY PETS BEGE/AZUL 17/18,SANDÁLIA,CALÇADO INFANTIL
6064,CABO IPHONE 5/6 PR 2M I2GO,ACESSÓRIOS CELULAR,ACESSÓRIOS ELETRO
6065,SHA E COND CAES LEPETS FILHOTES 500ML,HIDRATAÇÃO,SHAMPOO
6066,AGUA MINERAL ARMAZEM C/GAS PET 1.5L,SEM GÁS,ÁGUA MINERAL
6067,TACA KROSNO ESP LUSTER PLAT 200ML,TAÇAS,UTENSÍLIOS DE VIDRO
6068,CABO NACIONAL MICRO USB 2M KM,ACESSÓRIOS CELULAR,ACESSÓRIOS ELETRO
6069,T.MAXTON KIT 4.66 VERM.BORG,PERMANENTE VERMELHO,COLORAÇÃO FEMININA
6070,LASANHA SAO LUIZ KG FGO,FRANGO,LASANHA
6071,VELA TREZE ESTRELAS N6,VELA,ARTIGOS PARA FESTAS
6072,SABAO CAO ANTI PULGA PREVIN 80G,PETISCOS,ALIMENTO PARA CÃES
6073,PAPEL HIG BOB F.S NEUT 60M C/4,FOLHA DUPLA,PAPEL HIGIÊNICO
6074,COIFA CADENCE 90 I 220V CFA290,COIFA,EXAUSTORES
6075,COBERTOR ACASA E QUEEN MAQUINETADO TAUPE,COBERTOR,CAMA
6076,QUEIJO QUATA COALHO ESPETO KG OREGANO,COALHO,QUEIJO
6077,LIMPA FORNO ACAO LAR CHAPAS/GRELHAS 500ML,LIMPA FORNO,DESENGORDURANTE
6078,DESINF BELGA LAVANDA 500ML,DILUÍDO,DESINFETANTE
6079,CHUPETA LOLLY SIL ORTO ROSA T2,CHUPETA,PUERICULTURA
6080,AREIA PARA GATO CARECAT PLUS 4kg,AREIA,HIGIENE/LIMPEZA PET SHOP
6081,SH ELSEVE RT5 ESP QUIMICA 250ML,2 EM 1,SHAMPOO
6082,REFRIGER ELECTROLUX 240L BC 127V RE31,FROST FREE,REFRIGERADORES
6083,SQUEEZE URBANO 600ml SOPRANO INOX AZUL,JARRA/GARRAFA,UTENSÍLIOS DE INOX/ALUMÍNIO
6084,REPELENTE XO INSETO SPRAY 200ML,LOÇÃO,REPELENTES
6085,SUCO GREEN PEOPLE BAS MACA 250ML,REGULAR,SUCO PRONTO/NECTAR
6086,FAR MAND NIPPON TORRADA 1KG,FARINHA DE MANDIOCA,FARINÁCEO
6087,SANDALIA IPANEMA DAKAR MASC .,SANDÁLIA,CALÇADO ADULTO
6088,ABSINTO NETO COSTA 700ML,PIMENTA OUTRAS,CONDIMENTO NATURAL
6089,LIMPADOR DE PISO DESINFETANTE OMO LAVANDA 900ML,PERFUMADO,LIMPADOR MULTIUSO
6090,MOLHO SHOYU SIAMAR 900ML .,TRADICIONAL,MOLHO SHOYU
6091,MOLHO TOM ITAL DECECCO 400G-VD ARRABBIATA,SABOR BOLONHESA,MOLHO DE TOMATE
6092,GFA TERM IMP INOX 2L BES-KH16,GARRAFA TÉRMICA,UTENSÍLIOS PARA CAFÉ
6093,CONDIC INF DOVE BABY LIGHT HAIR FR 200ML,TRADICIONAL,CONDICIONADOR INFANTIL
6094,VASS BETTANIN DANESA,VASSOURA,LIMPEZA
6095,TAPETE DAMA 43X60CM,TAPETES,CAPACHOS E TAPETES
6096,ALIM CAO SNACK DOG CHOW MIX FR PCT 75G,SECO,ALIMENTO PARA CÃES
6097,VINHO CHILENO CONCHA TORO TRAV. MALB 750ML,VINHO CHILENO,VINHO
6098,DOCE CAMBUI 200G AMENDOIM,AMENDOIM,DOCE TABLETE
6099,GOMA MASCAR MENTOS PURE FRUIT MOR PT 56G,CHICLETE OUTROS SABORES,BOMBONIERE
6100,SAB BAR REXONA ACQUA FRESH 125G,BÁSICO,SABONETE BARRA
6101,GEL CRYSAL POTE AZUL 240G,FIXADOR,FIXADOR DE CABELO
6102,ESC CAB DEC HAIR ANTARES MAD 1UN-SM CERD NYLON,ESCOVA PARA CABELO,ACESSÓRIOS PARA CABELO
6103,XIC. CHA NADIR FIGUEIREDO S/PIRE DIAMANTE,CONJUNTO DE PRATOS,UTENSÍLIOS DE VIDRO
6104,CHOC SUICO VILLARS 100G-TA AO LEITE CAFE,CHOCOLATE IMPORTADO,BOMBONIERE
6105,SAND AD HAVAIANAS SLIM ORGANIC 37/38 PETROLEO,SANDÁLIA,CALÇADO ADULTO
6106,SHA MURIEL CACHOS DE UMA ESTRELA CRESC TOTAL 250ML,CACHOS,SHAMPOO
